Date,Open,High,Low,Close
02/04/2026,"54,250.41","54,459.41","53,965.51","54,293.36"
02/03/2026,"53,332.18","54,782.83","53,307.74","54,720.66"
02/02/2026,"53,575.37","54,247.15","52,655.18","52,655.18"
01/30/2026,"53,434.73","53,590.24","52,923.12","53,322.85"
01/29/2026,"53,301.26","53,742.69","52,990.42","53,375.60"
01/28/2026,"53,023.88","53,507.18","52,788.10","53,358.71"
01/27/2026,"52,847.54","53,334.03","52,637.66","53,333.54"
01/26/2026,"53,023.28","53,138.67","52,656.00","52,885.25"
01/23/2026,"53,898.45","54,050.84","53,603.68","53,846.87"
01/22/2026,"53,327.39","53,922.53","53,242.38","53,688.89"
01/21/2026,"52,228.08","52,848.78","52,194.81","52,774.64"
01/20/2026,"53,348.59","53,408.35","52,852.90","52,991.10"
01/19/2026,"53,390.05","53,583.57","53,091.45","53,583.57"
01/16/2026,"54,071.28","54,130.60","53,706.79","53,936.17"
01/15/2026,"54,039.40","54,153.61","53,709.87","54,110.50"
01/14/2026,"53,827.24","54,487.32","53,792.68","54,341.23"
01/13/2026,"52,808.29","53,814.79","52,741.64","53,549.16"
01/09/2026,"51,367.98","51,986.91","51,189.14","51,939.89"
01/08/2026,"51,769.83","51,866.19","51,052.83","51,117.26"
01/07/2026,"52,144.64","52,404.11","51,830.40","51,961.98"
01/06/2026,"52,157.22","52,523.77","52,024.62","52,518.08"
01/05/2026,"51,010.28","52,033.24","50,995.67","51,832.80"
12/30/2025,"50,312.85","50,534.64","50,198.97","50,339.48"
12/29/2025,"50,691.22","50,707.23","50,347.65","50,526.92"
12/26/2025,"50,527.13","50,941.89","50,527.13","50,750.39"
12/25/2025,"50,450.18","50,510.11","50,283.76","50,407.79"
12/24/2025,"50,475.48","50,636.95","50,323.92","50,344.10"
12/23/2025,"50,374.48","50,544.56","50,264.42","50,412.87"
12/22/2025,"50,084.55","50,590.88","49,982.20","50,402.39"
12/19/2025,"49,387.71","49,766.96","49,257.15","49,507.21"
12/18/2025,"49,058.31","49,169.79","48,643.78","49,001.50"
12/17/2025,"49,413.19","49,571.50","49,077.81","49,512.28"
12/16/2025,"50,051.24","50,051.24","49,355.87","49,383.29"
12/15/2025,"50,352.09","50,432.10","49,965.68","50,168.11"
12/12/2025,"50,480.23","51,127.69","50,457.42","50,836.55"
12/11/2025,"50,818.39","50,875.98","49,926.27","50,148.82"
12/10/2025,"50,878.66","51,107.77","50,329.27","50,602.80"
12/09/2025,"50,677.36","50,793.69","50,417.11","50,655.10"
12/08/2025,"50,643.09","50,678.05","50,224.65","50,581.94"
12/05/2025,"50,530.34","50,634.85","50,215.41","50,491.87"
12/04/2025,"49,942.94","51,028.42","49,910.06","51,028.42"
12/03/2025,"49,540.64","50,138.60","49,521.23","49,864.68"
12/02/2025,"49,494.58","49,636.79","49,243.55","49,303.45"
12/01/2025,"50,318.59","50,366.74","49,215.96","49,303.28"
11/28/2025,"50,218.96","50,258.25","49,989.54","50,253.91"
11/27/2025,"49,868.79","50,322.14","49,865.17","50,167.10"
11/26/2025,"49,012.25","49,749.59","48,964.19","49,559.07"
11/25/2025,"49,113.82","49,182.32","48,511.95","48,659.52"
11/21/2025,"49,251.26","49,459.59","48,490.03","48,625.88"
11/20/2025,"49,129.29","50,574.82","49,113.39","49,823.94"
11/19/2025,"48,822.88","49,087.11","48,235.30","48,537.70"
11/18/2025,"49,812.95","49,971.55","48,661.52","48,702.98"
11/17/2025,"50,282.39","50,398.16","49,845.86","50,323.91"
11/14/2025,"50,767.74","50,767.74","50,246.60","50,376.53"
11/13/2025,"51,013.15","51,338.89","50,954.27","51,281.83"
11/12/2025,"50,988.53","51,072.26","50,537.50","51,063.31"
11/11/2025,"51,314.04","51,513.16","50,581.17","50,842.93"
11/10/2025,"50,645.27","50,969.50","50,392.44","50,911.76"
11/07/2025,"50,524.31","50,642.79","49,640.56","50,276.37"
11/06/2025,"50,792.55","51,248.28","50,594.19","50,883.68"
11/05/2025,"51,291.39","51,422.42","49,073.58","50,212.27"
